bank_code,bank,code,currency,buy_rate,sell_rate,cb_rate,source
aab,Asia Alliance Bank,CHF,Valyuta Shveytsariya franki,14840.0,15540.0,,own-site+bank.uz
aab,Asia Alliance Bank,EUR,EUR,13750.0,14000.0,,own-site+bank.uz
aab,Asia Alliance Bank,GBP,Valyuta Angliya funt sterlingi,15720.0,16410.0,,own-site+bank.uz
aab,Asia Alliance Bank,JPY,Valyuta Yaponiya iyenasi,66.0,76.0,,own-site+bank.uz
aab,Asia Alliance Bank,RUB,RUB,157.0,167.0,,own-site+bank.uz
aab,Asia Alliance Bank,USD,USD,11915.0,11975.0,,own-site+bank.uz
agrobank,Agrobank,CHF,Valyuta Shveytsariya franki,14350.0,15650.0,,bank.uz
agrobank,Agrobank,EUR,Valyuta Evro,13700.0,14200.0,,bank.uz
agrobank,Agrobank,GBP,Valyuta Angliya funt sterlingi,15400.0,16500.0,,bank.uz
agrobank,Agrobank,JPY,Valyuta Yaponiya iyenasi,65.0,85.0,,bank.uz
agrobank,Agrobank,RUB,Valyuta Rossiya rubli,,180.0,,bank.uz
agrobank,Agrobank,USD,Valyuta AQSH dollari,11890.0,11990.0,,bank.uz
aloqabank,Aloqabank,CHF,Valyuta Shveytsariya franki,15000.0,16000.0,,own-site+bank.uz
aloqabank,Aloqabank,EUR,EUR,13500.0,14500.0,,own-site+bank.uz
aloqabank,Aloqabank,GBP,Valyuta Angliya funt sterlingi,15500.0,16500.0,,own-site+bank.uz
aloqabank,Aloqabank,JPY,Valyuta Yaponiya iyenasi,70.0,100.0,,own-site+bank.uz
aloqabank,Aloqabank,RUB,RUB,95.0,180.0,,own-site+bank.uz
aloqabank,Aloqabank,USD,USD,11900.0,12000.0,,own-site+bank.uz
anorbank,Anorbank,CHF,Valyuta Shveytsariya franki,14240.0,,,bank.uz
anorbank,Anorbank,EUR,Valyuta Evro,13630.0,14150.0,,bank.uz
anorbank,Anorbank,GBP,Valyuta Angliya funt sterlingi,15430.0,,,bank.uz
anorbank,Anorbank,KZT,Valyuta Qozog'iston tengesi,16.0,27.0,,bank.uz
anorbank,Anorbank,RUB,Valyuta Rossiya rubli,80.0,172.0,,bank.uz
anorbank,Anorbank,USD,Valyuta AQSH dollari,11890.0,11960.0,,bank.uz
apexbank,Apex Bank,EUR,Yevro,13000.0,14000.0,,own-site
apexbank,Apex Bank,RUB,RUB,100.0,170.0,,own-site
asakabank,Asaka Bank,CHF,Valyuta Shveytsariya franki,14700.0,15800.0,,bank.uz
asakabank,Asaka Bank,EUR,Valyuta Evro,13300.0,14450.0,,bank.uz
asakabank,Asaka Bank,GBP,Valyuta Angliya funt sterlingi,15750.0,16750.0,,bank.uz
asakabank,Asaka Bank,RUB,Valyuta Rossiya rubli,135.0,190.0,,bank.uz
asakabank,Asaka Bank,USD,Valyuta AQSH dollari,11890.0,11960.0,,bank.uz
brb,BRB,CHF,Valyuta Shveytsariya franki,14900.0,15600.0,,bank.uz
brb,BRB,EUR,Valyuta Evro,13600.0,14300.0,,bank.uz
brb,BRB,GBP,Valyuta Angliya funt sterlingi,15800.0,16500.0,,bank.uz
brb,BRB,JPY,Valyuta Yaponiya iyenasi,50.0,90.0,,bank.uz
brb,BRB,RUB,Valyuta Rossiya rubli,140.0,171.0,,bank.uz
brb,BRB,USD,Valyuta AQSH dollari,11920.0,12000.0,,bank.uz
cbu,Central Bank,AED,BAA dirhami,,,3253.38,cbu-api
cbu,Central Bank,AFN,Afg‘oniston afg‘onisi,,,186.97,cbu-api
cbu,Central Bank,AMD,Armaniston drami,,,32.45,cbu-api
cbu,Central Bank,ARS,Argentina pesosi,,,8.48,cbu-api
cbu,Central Bank,AUD,Avstraliya dollari,,,8578.21,cbu-api
cbu,Central Bank,AZN,Ozarbayjon manati,,,7028.84,cbu-api
cbu,Central Bank,BDT,Bangladesh takasi,,,97.34,cbu-api
cbu,Central Bank,BHD,Bahrayn dinori,,,31695.04,cbu-api
cbu,Central Bank,BND,Bruney dollari,,,9351.98,cbu-api
cbu,Central Bank,BRL,Braziliya reali,,,2372.3,cbu-api
cbu,Central Bank,BYN,Belorus rubli,,,4325.28,cbu-api
cbu,Central Bank,CAD,Kanada dollari,,,8646.81,cbu-api
cbu,Central Bank,CHF,Shveytsariya franki,,,15241.11,cbu-api
cbu,Central Bank,CNY,Xitoy yuani,,,1766.25,cbu-api
cbu,Central Bank,CUP,Kuba pesosi,,,497.88,cbu-api
cbu,Central Bank,CZK,Chexiya kronasi,,,573.18,cbu-api
cbu,Central Bank,DKK,Daniya kronasi,,,1862.79,cbu-api
cbu,Central Bank,DZD,Jazoir dinori,,,90.17,cbu-api
cbu,Central Bank,EGP,Misr funti,,,229.48,cbu-api
cbu,Central Bank,EUR,EVRO,,,13921.81,cbu-api
cbu,Central Bank,GBP,Angliya funt sterlingi,,,16083.39,cbu-api
cbu,Central Bank,GEL,Gruziya larisi,,,4490.43,cbu-api
cbu,Central Bank,HKD,Gongkong dollari,,,1524.69,cbu-api
